ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
80438,80438,EMPIRE,Colorado,Clear Creek,0,0,2519,0,0,0,7.9,0,77500,0,1107.045685,1,0.99,0,0.83,1,0.026,0,0.07,0
80444,80444,Georgetown,Colorado,Clear Creek,1,0,2519,0,0,0,7.9,0,77500,0,1107.045685,1,0.99,0,0.83,1,0.026,0,0.07,0
80452,80452,IDAHO SPRINGS,Colorado,Clear Creek,1,0,4959,0,0,0,8.9,0,105028,0,8.963233354,0,0.99,0,0.83,1,0.026,0,0.07,0
81140,81140,La Jara,Colorado,Conejos,0,0,4369,0,0,1,13.3,0,56910,1,462.4698912,0,0.22,1,0.89,0,0.042,1,0.09,1
81063,81063,Ordway,Colorado,Crowley,0,0,5823,0,0,1,28.3,1,41953,1,459.4849619,0,0.33,1,0.83,1,0.031,0,0.08,0
81410,81410,AUSTIN,Colorado,Delta,0,0,4092,0,0,1,15.2,0,51823,1,7.066491124,0,0.73,0,0.88,0,0.039,1,0.1,1
81413,81413,CEDAREDGE,Colorado,Delta,0,0,3493,0,0,1,11.9,0,55893,1,33.67390075,0,0.73,0,0.88,0,0.039,1,0.1,1
81414,81414,CORY,Colorado,Delta,0,0,5805,0,0,1,18.3,0,53329,1,3.796786975,0,0.73,0,0.88,0,0.039,1,0.1,1
81415,81415,CRAWFORD,Colorado,Delta,0,0,5017,0,0,0,12.1,0,64167,0,282.0141071,0,0.73,0,0.88,0,0.039,1,0.1,1
81418,81418,ECKERT,Colorado,Delta,0,0,4464,0,0,1,19.4,0,45307,1,31.65045095,0,0.73,0,0.88,0,0.039,1,0.1,1
81419,81419,HOTCHKISS,Colorado,Delta,0,0,3493,0,0,1,11.9,0,55893,1,33.67390075,0,0.85,0,0.81,1,0.033,0,0.12,1
81428,81428,PAONIA,Colorado,Delta,0,0,4464,0,0,1,19.4,0,45307,1,31.65045095,0,0.85,0,0.81,1,0.033,0,0.12,1
81620,81620,AVON,Colorado,Eagle,0,0,1479,0,0,0,5.2,0,94213,0,0,0,0.98,0,0.71,1,0.023,0,0.13,1
81621,81621,BASALT,Colorado,Eagle,0,0,977,0,0,0,10.7,0,79886,0,0,0,0.78,0,0.76,1,0.04,1,0.09,1
